Name,Competitors Sold Here,Astra Prospect?,Type,Address,City / Region,Phone,Email,Contact Page,Instagram,Website,Open Times,Status,Last Contacted,Notes / Warm Intros,Needs Review,Source
Cheeseplate Brooklyn,Unified Ferments,,Cheese shop,"323 Court St, Brooklyn, NY 11231, USA","Brooklyn, NY",,,https://www.cheeseplatebrooklyn.com/contact,,https://www.cheeseplatebrooklyn.com/,,Not contacted,,,,Competitor list + Retail leads tab
CHERRY ON TOP,Unified Ferments,,Wine Bar,"379 Suydam Street, Brooklyn, NY, 11237","Brooklyn, NY",,hello@cherryontopnyc.com,,,https://www.cherryontopnyc.com/,,Not contacted,,,,Competitor list + Retail leads tab
CHEZ MA TANTE,Unified Ferments,,Bistro,"90 Calyer St, Brooklyn, NY 11222","Brooklyn, NY",(718) 389-3606,info@chezmatantebk.com,,,https://chezmatantebk.com/CONTACT-US,,Not contacted,,,,Competitor list + Retail leads tab
CHEZ OSKAR,NON,,French Restaurant,"373 Decatur Street, New York, New York 11233","Brooklyn, NY",(718) 852-6250,Chezoskar310@gmail.com,,,www.chezoskar.com,,Not contacted,,,,Competitor list
Clover Club,,Yes,Bar,"210 Smith St, Brooklyn, NY 11201","Brooklyn, NY",(718) 855-7939,info@cloverclubny.com,,,cloverclubny.com,,Not contacted,,,,Competitor list + Retail leads tab
COVENHOVEN,Unified Ferments,,Bar,"730 Classon Ave, Brooklyn, NY 11238","Brooklyn, NY",(718) 483-9950,"covenhoven@gmail.com, management@covenhoven.com",,,www.covenhovennyc.com,,Not contacted,,,,Competitor list + Retail leads tab
DEAR FRIEND BOOKS,Unified Ferments,,Book Store + Wine Bar,"Dear Friend Books, 343A, Tompkins Avenue, Bedford-Stuyvesant, Brooklyn, Kings County, New York, 11221, United States","Brooklyn, NY",,studio@dearfriendbooks.com,,,https://www.dearfriendbooks.com/,,Not contacted,,,,Competitor list + Retail leads tab
Depanneur,Savoure,,Market,"242 Wythe Ave, Brooklyn, NY 11249","Brooklyn, NY",(718) 989-1022,Info@depanneurwines.com,,,https://www.depanneurwines.com/,,Not contacted,,,,Competitor list + Retail leads tab
Dinner Party,Unified Ferments,,New American restaurant,"274 Hall St, Brooklyn, NY 11205, USA","Brooklyn, NY",(347) 463-9173,rsvp@dinnerpartybk.com,,,https://www.dinnerpartybk.com/food,,Not contacted,,,,Competitor list + Retail leads tab
Doris,,Yes,Bar,"1088 Fulton St, Brooklyn, NY 11238","Brooklyn, NY",(347) 240-3350,dorisbedstuy@gmail.com,,,dorisbedstuy.com,,Not contacted,,,,Competitor list + Retail leads tab
Entre Nous,,Yes,Wine bar,"39 Clifton Pl, Brooklyn, NY 11238","Brooklyn, NY",(347) 294-4186,bonsoir@entrenousbrooklyn.com,,,www.entrenousbrooklyn.com,,Not contacted,,,,Competitor list + Retail leads tab
FOOD GARDEN MARKET Store 1,NON,,Supermarket,"102 4th Ave, Brooklyn, New York 11217","Brooklyn, NY",(929) 337-1828,info@foodgardenmarket.com,,,foodgardenmarket.com,,Not contacted,,,,Competitor list
FOOD GARDEN MARKET Store 2,NON,,Supermarket,"608 Franklin Avenue, New York, New York 11238","Brooklyn, NY",(718) 399-1529,info@foodgardenmarket.com,,,foodgardenmarket.com,,Not contacted,,,,Competitor list
FOSTER SUNDRY,Unified Ferments,,Grocery & butcher shop,"215 Knickerbocker Ave, Brooklyn, NY 11237","Brooklyn, NY",(718) 569-8426,info@fostersundry.com,,,https://www.fostersundry.com/,,Not contacted,,sick small business - worth a tour!,,Competitor list + Retail leads tab
FOUR HORSEMEN,Unified Ferments,,Restaurant,"295 Grand St, Brooklyn, NY 11211","Brooklyn, NY",,info@fourhorsemenbk.com,,,www.fourhorsemenbk.com,,Not contacted,,,,Competitor list + Retail leads tab
Frog Wine Bar,,Yes,Wine bar,"358 Marcus Garvey Blvd, Brooklyn, NY 11221","Brooklyn, NY",(585) 456-1050,,,https://www.instagram.com/frogwinebar/?hl=en,,,Not contacted,,,,Competitor list + Retail leads tab
GAGE & TOLLNER,NON,,American Restaurant,"372 Fulton Mall, Brooklyn, NY, 11201","Brooklyn, NY",(347) 689-3677,,https://www.gageandtollner.com/contact-us/,,www.gageandtollner.com,,Not contacted,,,,Competitor list
George and Jack's Tap Room,,Yes,Pub,"103 Berry St, Brooklyn, NY 11211","Brooklyn, NY",(212) 555-1212,,,https://www.instagram.com/georgeandjacks/?hl=en,,,Not contacted,,,,Competitor list + Retail leads tab
GERTIE,Unified Ferments,,Deli,"602 Vanderbilt Ave, Brooklyn, NY 11238","Brooklyn, NY",,tavo@districtonestudios.com,,,https://www.gertie.nyc/contact,,Not contacted,,jewish deli,,Competitor list + Retail leads tab
HANA MAKGEOLLI,Unified Ferments,,Brewery,"201 Dupont Street, Brooklyn, NY, 11222","Brooklyn, NY",,contact@hanamakgeolli.com,,,https://www.hanamakgeolli.com/,,Not contacted,,very cool! And worth a tour,,Competitor list + Retail leads tab
HOTEL DELMANO,Unified Ferments,,Bar,"82 Berry St, Brooklyn, NY 11211","Brooklyn, NY",(718) 387-1945,info@hoteldelmano.com,,,https://hoteldelmano.com/contact/,,Not contacted,,,,Competitor list + Retail leads tab
INSA,Unified Ferments,,Korean barbecue restaurant,"328 Douglass St, Brooklyn, NY 11217","Brooklyn, NY",(718) 855-2620,info@insabrooklyn.com,,,www.insabrooklyn.com,,Not contacted,,,,Competitor list + Retail leads tab
JUNE,Unified Ferments,,Restaurant + Wine Bar,"231 Court St, Brooklyn, NY 11201","Brooklyn, NY",(917) 909-0434,tom@junebk.com,,,www.junebk.com,,Not contacted,,,,Competitor list + Retail leads tab
KEY FOOD STORE #1830,NON,,Supermarket,"8772 18th Avenue, Brooklyn, NY 11214","Brooklyn, NY",(718) 331-5080,,,,https://www.keyfood.com/stores/1160,,Not contacted,,,,Competitor list
L'Apero by 4F,,Yes,Wine bar,"115 Montague St, Brooklyn, NY 11201","Brooklyn, NY",(347) 599-0006,info@lappartement4f.com,,,https://www.lappartement4f.com/?srsltid=AfmBOoqZKnI3dVxv1rwIYdB2Xpm1Vb2uboNtIUswpxA_MN4k9qIdy-TS,,Not contacted,,,,Competitor list + Retail leads tab
LA VARA,Unified Ferments,,Spanish restaurant,"268 Clinton St, Brooklyn, NY 11201","Brooklyn, NY",(718) 422-0065,Rob@lavarany.com,,,www.lavarany.com,,Not contacted,,,,Competitor list + Retail leads tab
Lea Brooklyn,Savoure,,Market,"1022 Cortelyou Rd, Brooklyn, NY 11218","Brooklyn, NY",(718) 928-7100,info@leabrooklyn.com,,,www.leabrooklyn.com,,Not contacted,,,,Competitor list + Retail leads tab
Lilia,,Yes,Restaurant,"567 Union Ave, Brooklyn, NY 11211","Brooklyn, NY",(718) 576-3095,,https://www.lilianewyork.com/contact/,,www.lilianewyork.com,,Not contacted,,,,Competitor list + Retail leads tab
LunAtico,,Yes,Bar,"486 Halsey St, Brooklyn, NY 11233","Brooklyn, NY",(718) 513-0339,office@barlunatico.com,,,www.barlunatico.com,,Not contacted,,,,Competitor list + Retail leads tab
MINUS MOONSHINE,"NON, Unified Ferments",,Non Alc Store,"433 Sterling Place, New York, New York 11238","Brooklyn, NY",(914) 485-7502,info@minusmoonshine.com,,,minusmoonshine.com,,Not contacted,,Great one! Small indepdent locally owned non alcholic spirts,,Competitor list + Retail leads tab
MINUS MOONSHINE Greenpoint,Unified Ferments,,Non Alc Store,"257 Driggs Ave, Brooklyn, NY 11222","Brooklyn, NY",(347) 227-7522,info@minusmoonshine.com,,,minusmoonshine.com,,Not contacted,,two locations greenpoint + Prospect heihgts,,Competitor list + Retail leads tab
Misi,,Yes,Restaurant,"329 Kent Ave, Brooklyn, NY 11249","Brooklyn, NY",(347) 566-3262,info@misinewyork.com,,,www.misinewyork.com,,Not contacted,,,,Competitor list + Retail leads tab
Misipasta,,Yes,Cafe,"46 Grand St, Brooklyn, NY 11249","Brooklyn, NY",(347) 844-6474,info@misipasta.com,,,www.misipasta.com,,Not contacted,,,,Competitor list + Retail leads tab
MISS ADA,Unified Ferments,,Mediterranean restaurant,"184 Dekalb Ave, Brooklyn, NY 11205","Brooklyn, NY",,INFO@MISSADANYC.COM,,,www.missadanyc.com,,Not contacted,,Michelin Bib Gourmand,,Competitor list + Retail leads tab
NIN HAO,NON,,Chinese Restaurant,"610 Dean Street, New York, New York 11238","Brooklyn, NY",(718) 399-3232,joy@ninhaonyc.com,,,https://www.ninhaonyc.com/,,Not contacted,,,,Competitor list
Ornithology Jazz Club,,Yes,Bar,"6 Suydam St, Brooklyn, NY 11221","Brooklyn, NY",(917) 231-4766,ornithologycocktail@gmail.com,,,www.ornithologyjazzclub.com,,Not contacted,,,,Competitor list + Retail leads tab
OSTUDIO,Unified Ferments,,Wine Bar + Community Gathering,"366 Stockton St, Brooklyn, NY 11206","Brooklyn, NY",,ostudio@ostudiony.com,,,www.ostudiony.com/ocafe,,Not contacted,,could be a cool venue to collab with Zach on,,Competitor list + Retail leads tab
Park Slope Food Coop,Savoure,,Food coop,"782 Union St, Brooklyn, NY 11215","Brooklyn, NY",(718) 622-0560,missions@psfc.coop,,,www.foodcoop.com,,Not contacted,,,,Competitor list + Retail leads tab
PEARL STREET SUPPER CLUB,Unified Ferments,,Raw Bar & Restaurant,"147 Front Street, Brooklyn, NY, 11201","Brooklyn, NY",(407) 449-5307,hello@pearlstrestaurant.com,,,https://www.pearlstrestaurant.com/,,Not contacted,,,,Competitor list + Retail leads tab
Place Des Fetes,,Yes,Restaurant,"212 Greene Ave, Brooklyn, NY 11238","Brooklyn, NY",(718) 857-0101,,https://www.pdfnyc.com/contact/,,www.pdfnyc.com,,Not contacted,,,,Competitor list + Retail leads tab
POPINA,NON,,Italian Restaurant,"127 Columbia Street, New York, New York 11231","Brooklyn, NY",(718) 222-1901,,https://www.popinanyc.com/contact/,,www.popinanyc.com,,Not contacted,,,,Competitor list
Prima,,Yes,Cafe/wine bar,"147 Greene Ave, Brooklyn, NY 11238","Brooklyn, NY",(718) 789-7890,,,,https://www.primabrooklyn.com/,,Not contacted,,love this vibe,,Competitor list + Retail leads tab
Public Records,Savoure,,Bar/venue,"233 Butler St, Brooklyn, NY 11217","Brooklyn, NY",(347) 529-4869,hello@publicrecords.nyc,,,publicrecords.nyc,,Not contacted,,"max has a contact at ""Alright Studios"" which does work for public records (warm intro)",,Competitor list + Retail leads tab
R&D Goods,NON,,Home Goods Store,"600 Vanderbilt Avenue, New York, New York 11238","Brooklyn, NY",(347) 897-6202,rdgoodsbklyn@gmail.com,,,https://rdgoodsbklyn.com/pages/contact,,Not contacted,,,,Competitor list
Radegast Hall,,Yes,Pub,"113 N 3rd St, Brooklyn, NY 11249","Brooklyn, NY",(718) 963-3973,info@radegasthall.com,,,https://radegasthall.com/contact/,,Not contacted,,,,Competitor list + Retail leads tab
Rhodora,Unified Ferments,Yes,Wine bar,"197 Adelphi St, Brooklyn, NY 11205","Brooklyn, NY",,hello@rhodorabk.com,,,https://www.rhodorabk.com/,,Not contacted,,cool website,,Competitor list + Retail leads tab
RIALTO GRANDE,Unified Ferments,,Bar,"644 Franklin Ave, Brooklyn, NY 11238","Brooklyn, NY",,rialtogrande+events@gmail.com,,,www.rialtogrande.com,,Not contacted,,,,Competitor list + Retail leads tab
ROBERTA'S,Unified Ferments,,Pizza Restaurant,"261 Moore St, Brooklyn, NY 11206","Brooklyn, NY",(718) 417-1118,info@robertaspizza.com,,,https://www.robertaspizza.com/,,Not contacted,,chain,,Competitor list + Retail leads tab
SAA,NON,,Club/Event Space,"154 Scott Avenue, New York, New York 11237","Brooklyn, NY",,membership@saa.nyc,,@saabrooklyn,https://www.saa.nyc/,,Not contacted,,,,Competitor list
Sahadi's,NON,,Grocery Store,"187 Atlantic Avenue, New York, New York 11201","Brooklyn, NY",(718) 624-4550,,https://sahadis.com/pages/contact,,sahadis.com,,Not contacted,,,,Competitor list
SAINT JAMES LIBATIONS,NON,,Wine Bar,"269 Stanhope St, Brooklyn, NY 11237","Brooklyn, NY",(646) 807-9190,mgmt@saintjameslibations.com,,,https://saintjameslibations.com/,,Not contacted,,,,Competitor list
SAINT JULIVERT,Unified Ferments,,Spanish + Japanease Seafood,"264 Clinton St, Brooklyn, NY 11201","Brooklyn, NY",(347) 987-3710,hello@saintjulivertbk.com,,,www.saintjulivertbk.com,,Not contacted,,,,Competitor list + Retail leads tab
Sauced,,Yes,Wine bar,"331 Bedford Ave, Brooklyn, NY 11211","Brooklyn, NY",(929) 492-4758,,https://www.saucedbklyn.com/pages/contact,,www.saucedbklyn.com,,Not contacted,,,,Competitor list + Retail leads tab
SIGNAL,NON,,Night Club,"175 Morgan Avenue, New York, New York 11206","Brooklyn, NY",,,https://www.signalnyc.club/about,,www.signalnyc.club,,Not contacted,,,,Competitor list
SISTERS,Unified Ferments,,New American,"900 Fulton St, Brooklyn, NY 11238","Brooklyn, NY",(347) 763-2537,SISTERSBKLYN@GMAIL.COM,,,https://www.sistersbklyn.com/contact/,,Not contacted,,,,Competitor list + Retail leads tab
Soft Bar,,Yes,Non-alc dedicated bar + cafe,"200 Banker St, Brooklyn, NY 11222","Brooklyn, NY",,hello@soft-bar.com,,,https://soft-bar.com/,,Not contacted,,,,Competitor list + Retail leads tab
Still Life,,Yes,Coffee house / art space,"573 Sackett St, Brooklyn NY","Brooklyn, NY",,info@stilllifecafe.com,,,www.stilllifecafe.com,,Not contacted,,,,Retail leads tab
SU'JUK,NON,,Clothing Store,"216 Greene Avenue, New York, New York 11238","Brooklyn, NY",(914) 573-7545,,https://www.sujukbk.com/pages/contact,,www.sujukbk.com,,Not contacted,,,,Competitor list
SUNRISE/SUNSET,Unified Ferments,,Bar,"351 Evergreen Ave, Brooklyn, NY 11221","Brooklyn, NY",(347) 442-5880,sunrisesunsetmgmt@gmail.com,,,www.sunrisesunsetbk.com,,Not contacted,,,,Competitor list + Retail leads tab
The Coyote Club,,Yes,Bar,"417 Throop Ave, Brooklyn, NY 11221","Brooklyn, NY",,thecoyoteclubbrooklyn@gmail.com,,https://www.instagram.com/thecoyoteclub_bk/?hl=en,,,Not contacted,,"cash only, no email, check insta vibes",,Competitor list + Retail leads tab
THE FLY,Unified Ferments,,Resturant Bar,"549 Classon Avenue, Brooklyn, NY, 11238","Brooklyn, NY",(347) 405-5300,hello@theflybrooklyn.com,,,https://www.theflybrooklyn.com/,,Not contacted,,vibey spot,,Competitor list + Retail leads tab
TONCHIN Williamsburg,Unified Ferments,,Japanese Restaurant,"109 N 3rd St, Brooklyn, NY 11249","Brooklyn, NY",(929) 552-5396,info@tonchinbrooklyn.com,,,www.tonchinus.com,,Not contacted,,,,Competitor list + Retail leads tab
Twins Lounge,,Yes,Bar/lounge,"732 Manhattan Ave, Brooklyn, NY 11222","Brooklyn, NY",,twinsloungenyc@gmail.com,,www.instagram.com/twinsloungenyc,,,Not contacted,,,,Competitor list + Retail leads tab
VINEGAR HILL HOUSE,Unified Ferments,,New American,"72 Hudson Ave, Brooklyn, NY 11201","Brooklyn, NY",(718) 522-1018,info@vinegarhillhouse.com,,,www.vinegarhillhouse.com,,Not contacted,,,,Competitor list + Retail leads tab
WEN WEN,Unified Ferments,,Taiwanese,"1025 Manhattan Avenue, Brooklyn, NY, 11222","Brooklyn, NY",(646) 901-5644,wenwen@eighteightsix.com,,,https://www.wenwenbrooklyn.com/,,Not contacted,,,,Competitor list + Retail leads tab
WIN SON,Unified Ferments,,Taiwanease Restaurant,"159 Graham Ave, Brooklyn, NY 11206","Brooklyn, NY",(347) 457-6010,info@winsonbrooklyn.com,,,www.winsonbrooklyn.com,,Not contacted,,,,Competitor list + Retail leads tab
With Others,,Yes,Wine bar,"340 Bedford Ave, Brooklyn, NY 11249","Brooklyn, NY",(929) 389-0807,shanna@withothersbrooklyn.com,,,www.withothersbrooklyn.com,,Not contacted,,,,Competitor list + Retail leads tab
EXTRA EXTRA PIZZA,Unified Ferments,,Pizza Restaurant,"549 West Utica Street, Buffalo, NY, 14213","Buffalo, NY",(716) 248-2994,extraextrapizza549@gmail.com,,,https://www.extraextrapizza.com/,,Not contacted,,,,Competitor list + Retail leads tab
DrySpace Beverage,NON,,Liquor Store,"37 Cedar St, Dobbs Ferry, NY 10522","Dobbs Ferry, NY",,,,https://www.instagram.com/dryspacebev/,https://dryspacebev.com/,,Not contacted,,,,Competitor list
MAIDSTONE ARMS,NON,,Hotel,"207 Main St, East Hampton, NY 11937","East Hampton, NY",(631) 324-5006,ciao@themaidstone.com,,,https://themaidstone.com/,,Not contacted,,,,Competitor list
KINDRED FARE,Unified Ferments,,American Restaurant,"512 Hamilton Street, Geneva, NY, 14456","Geneva, NY",(315) 787-0400,,https://kindredfare.com/contact,,kindredfare.com,,Not contacted,,,,Competitor list + Retail leads tab
Nowadays,,Yes,Bar/club,"56-06 Cooper Ave, Glendale, NY 11385","Glendale, NY",,hello@nowadays.nyc,,,https://nowadays.nyc/about/,,Not contacted,,,,Competitor list + Retail leads tab
HUDSON DRY,NON,,Store,"421 Warren St, Hudson, NY 12534","Hudson, NY",(518) 660-0421,Melissa@rubypr.com,,,https://hudsondry.com/,,Not contacted,,,,Competitor list
LIL DEB'S OASIS,Unified Ferments,,Pan-Latin restaurant,"747 Columbia Street, City of Hudson, NY, 12534","Hudson, NY",(518) 828-4307,hello@lildebsoasis.com,,,www.lildebsoasis.com,,Not contacted,,closing October 12th,Closing Oct 12,Competitor list + Retail leads tab
Pocketbook Market,,Yes,Market,"549 Washington St, Hudson, NY 12534","Hudson, NY",,reservations@pocketbookhudson.com,,,https://www.pocketbookhudson.com/shops,,Not contacted,,,,Competitor list + Retail leads tab
Talbott & Arding,Savoure,,Market,"202 Allen St, Hudson, NY 12534","Hudson, NY",(518) 828-3558,info@talbottandarding.com,,,https://talbottandarding.com/,,Not contacted,,,,Competitor list + Retail leads tab
MAIN STREET FARM,NON,,Cafe,"36 Main St Unit B & C, Livingston Manor, NY 12758","Livingston Manor, NY",(845) 439-4309,info@mainstreetfarm.com,,,mainstreetfarm.com,,Not contacted,,,,Competitor list
Burden of Proof,,Yes,N/a bottle shop,"1012 Mission Street, Unit B, South Pasadena, CA 91030","Los Angeles, CA",626) 671-3175,burdenofproofna@gmail.com,,,,,Not contacted,,"Dean Peterson is a co-owner, was featured in this video",,Retail leads tab
Air HQ,,Yes,Software company with pop-up space,"3 Howard St, New York, NY 10013","New York, NY",(419) 902-7392,,,,https://air.inc/about,,Not contacted,,Alt phone from retail tab: (212) 920-1426; Venus sent open call message in Libi community chat for their cafe window which is open for applications for later half of 2026 and 2027. open to beverages,,Competitor list + Retail leads tab
ALISON (East Harlem),Unified Ferments,,American restaurant,"1651 Lexington Ave, New York, NY 10029, USA","New York, NY",(646) 876-1054,info@alisonny.com,,,alisonny.com,,Not contacted,,,,Competitor list + Retail leads tab
ALISON (East Village),Unified Ferments,,American restaurant,"110 St Marks Pl, New York, NY 10009","New York, NY",(646) 410-0732,info@alisonny.com,,,alisonny.com,,Not contacted,,,,Competitor list + Retail leads tab
AMAN HOTEL,NON,,Hotel,"724 5th Avenue, New York, New York 10019","New York, NY",(754) 216-7830,reservations@aman.com,,,,,Not contacted,,,,Competitor list
AMAN NEW YORK,Unified Ferments,,Hotel,"730 5th Avenue, Manhattan, NY, 10019","New York, NY",(212) 970-2626,reservations.ny@aman.com,,,https://www.aman.com/hotels/aman-new-york/contact-us,,Not contacted,,,,Competitor list + Retail leads tab
AMOR Y AMARGO,NON,,Bar,"97 Avenue A, New York, New York 10009","New York, NY",(833) 328-4588,speakup@overthrowhospitality.com,,,https://www.amoryamargo.com/,,Not contacted,,,,Competitor list
ARDESIA,NON,,Wine Bar,"510 West 52nd Street, New York, New York 10019","New York, NY",(212) 247-9191,info@ardesia-ny.com,,,https://www.ardesia-ny.com/,,Not contacted,,,,Competitor list
AS IS,Unified Ferments,,Bar,"734 10th Avenue, Manhattan, NY, 10019","New York, NY",(646) 858-1153,info@asisnyc.com,,,https://www.asisnyc.com/,,Not contacted,,,,Competitor list + Retail leads tab
ATOBOY,Unified Ferments,,Korean Restaurant,"43 E 28th St, New York, NY 10016","New York, NY",(646) 476-7217,info@atoboynyc.com,,,www.atoboynyc.com,,Not contacted,,,,Competitor list + Retail leads tab
ATOMIX,"NON, Unified Ferments",,Korean Restaurant,"104 East 30th Street, New York, New York 10016","New York, NY",,info@atomixnyc.com,,,https://www.atomixnyc.com/,,Not contacted,,,,Competitor list + Retail leads tab
AVERY FISHER HALL/ Davud Geffen Hall,NON,,Performing Arts Theater,"10 Lincoln Center Plaza, New York, NY 10023","New York, NY",(212) 875-5656,guestexperience@lincolncenter.org,,,www.lincolncenter.org/venue/david-geffen-hall,,Not contacted,,,,Competitor list
BARN JOO NOMAD,NON,,Gastropub,"818 6th Avenue, New York, New York 10001","New York, NY",(917) 409-1637,info@barnjoonomad.com,,,www.barnjoonomad.com,,Not contacted,,,,Competitor list
BIG Night Upper East Side,Unified Ferments,,Retail Store for dinner parties,"1015 Lexington Ave, New York, NY 10021","New York, NY",(332) 205-3584,vendors@shopbignight.com,,,bignightbk.com,,Not contacted,,,,Competitor list + Retail leads tab
BIG NIGHT West Village,Unified Ferments,,Retail Store for dinner parties,"236 W 10th St, New York, NY 10014","New York, NY",(646) 370-6839,vendors@shopbignight.com,,,bignightbk.com,,Not contacted,,,,Competitor list + Retail leads tab
BLUE NOTE JAZZ CLUB,NON,,Live Music Venue,"131 West 3rd Street, New York, New York 10012","New York, NY",(212) 475-8592,,https://www.bluenotejazz.com/nyc/contact/,,www.bluenotejazz.com/nyc,,Not contacted,,,,Competitor list
BOBO RESTAURANT,NON,,French Restaurant,"181 West 10th Street, New York, New York 10014","New York, NY",(212) 488-2626,,https://www.bobonyc.com/contact/,,https://www.bobonyc.com/,,Not contacted,,,,Competitor list
BOTTLEROCKET WINE & SPIRIT,NON,,Liquor Store,"5 West 19th Street, Manhattan, NY, 10011","New York, NY",(212) 929-2323,rocketmail@bottlerocket.com,,,bottlerocket.com,,Not contacted,,,,Competitor list
Brookfield Place FOR FIVE COFFEE ROASTERS,NON,,Coffee Shop,"225 Liberty St, New York, NY 10281","New York, NY",(347) 531-0813,,https://www.forfivecoffee.com/contact/,,https://www.forfivecoffee.com/contact/,,Not contacted,,,,Competitor list
CHAMA MAMA,Unified Ferments,,Georgian restaurant,"373 Amsterdam Ave, New York, NY 10024","New York, NY",(917) 261-7430,info@chamamama.com,,,www.chamamama.com/location/chama-mama-uws,,Not contacted,,,,Competitor list + Retail leads tab
CHEZ FIFI,NON,,Restaurant,"140 East 74th Street, New York, New York 10021","New York, NY",,"reservations@chezfifinyc.com, events@chezfifinyc.com",,,https://www.chezfifinyc.com/,,Not contacted,,,,Competitor list
CLAUDETTE,NON,,French Restaurant,"24 Fifth Ave, New York, NY 10011, USA","New York, NY",(212) 868-2424,events@claudettenyc.com,,,www.claudettenyc.com,,Not contacted,,,,Competitor list
COMPAGNIE DE VINS,Unified Ferments,,Wine Bar,"249, Centre Street, New York, New York, 10013, United States","New York, NY",,reservation@compagnienyc.com,,,https://www.experimentalgroup.com/new-york/la-compagnie-centre-street,,Not contacted,,,,Competitor list + Retail leads tab
CROWN SHY,"NON, Unified Ferments",,American Restaurant,"70 Pine Street, Manhattan, NY, 10005","New York, NY",(212) 517-1932,info@crownshy.nyc,,,www.crownshy.nyc,,Not contacted,,,,Competitor list + Retail leads tab
