competitor,source_id,name,address,suburb,region,state,venue_type,latitude,longitude,source_url,scraped_at,geocode_status,phone,email,website,verified,needs_review,staging_address,staging_city,staging_confidence,staging_provider,contact,hours,contact_source
Unified Ferments,,ANAJAK,"Anajak Thai, 14704, Ventura Boulevard, Sherman Oaks Neighborhood Council District, Los Angeles, Los Angeles County, California, 91403, United States",Los Angeles,US,CA,,34.1514734,-118.4533952,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,BAR AT MONIKER GENERAL,"2860, Sims Rd., San Diego, California, 92147, United States",San Diego,US,CA,,32.7409082,-117.2112173,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,BAR BANDINI,"Bar Bandini, 2150, West Sunset Boulevard, Historic Filipinotown, Echo Park, Los Angeles, Los Angeles County, California, 90026, United States",Los Angeles,US,CA,,34.0773398,-118.2654762,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,BLUM WINE AND FLOWERS,"Santa Clarita, California, 91390, United States",Santa Clarita,US,CA,,34.476623,-118.523478,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,BONE KETTLE,"Bone Kettle, 67, North Raymond Avenue, Old Pasadena, Pasadena Council District 3, Pasadena, Los Angeles County, California, 91103, United States",Pasadena,US,CA,,34.1470809,-118.149094,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,BOTANICA,"Botanica Restaurant & Market, 1620, Silver Lake Boulevard, Silver Lake, Echo Park, Los Angeles, Los Angeles County, California, 90026, United States",Los Angeles,US,CA,,34.088493,-118.2689001,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,CHARLIE’S NAPA,"California, United States",California,US,CA,,38.4898675,-122.3218414,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,COLOSSUS BREAD,"Glendale, California, United States",Glendale,US,CA,,34.2424894,-118.2538588,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,COOKBOOK MARKET,"7th Street, San Francisco, California, 94158, United States",San Francisco,US,CA,,37.767859,-122.4006019,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,COPRA,"Copra, 1700, Fillmore Street, Fillmore District, Western Addition, San Francisco, California, 94115, United States",San Francisco,US,CA,,37.7853743,-122.4328492,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,COVELL,"Covell, 4628, Hollywood Boulevard, Los Feliz Neighborhood Council District, Los Angeles, Los Angeles County, California, 90027, United States",Los Angeles,US,CA,,34.0999488,-118.2901366,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,CUYAMA,"Cuyama, Santa Barbara County, California, United States",Cuyama,US,CA,,34.9352537,-119.6151279,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,DIA NATURAL WINES,"San Diego, California, United States",San Diego,US,CA,,32.9223734,-117.2463702,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,DOMAINE LA,"Domaine M Marion Winery, Santa Clara County, California, 95030, United States",Domaine M Marion Winery,US,CA,,37.210778,-121.983013,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,DUNSMOOR,"Dunsmoor Court, Sycamore Homes, Danville, Contra Costa County, California, 94526, United States",Danville,US,CA,,37.8171372,-121.975656,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,ELF,"Engineering Laboratory Facility, 317, Engineering Service Road, University of California, Irvine, Irvine, Orange County, California, 92617, United States",Irvine,US,CA,,33.6437776,-117.8396655,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,FARMHOUSE CORNER MARKET,"471, North Pacific Avenue, Glendale, California, 91203, United States",Glendale,US,CA,,34.1518004,-118.2644072,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,FLASK & FIELD,"Santa Cruz, California, United States",Santa Cruz,US,CA,,36.9517591,-122.0291588,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,GUILDFORD GREEN WINE CO.,"Green Valley Road, Graton, California, 95444, United States",Graton,US,CA,,38.4451106,-122.8651779,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,HI-LO LIQUOR MARKET,"Hi-Lo Liquor Market, 8582, Washington Boulevard, Culver City Arts District, Culver City, Los Angeles County, California, 90232, United States",Culver City,US,CA,,34.0302251,-118.3812172,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,HONIKI AND THE BIRD,"Los Angeles, California, United States",Los Angeles,US,CA,,33.9352465,-118.3775509,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,HOLY BASIL DTLA,"3170, Glendale Boulevard, Los Angeles, California, 90039, United States",Los Angeles,US,CA,,34.1171551,-118.2612896,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,ISLA,"Isla, Great Park, Orange County Great Park, Irvine, Orange County, California, 92618, United States",Irvine,US,CA,,33.6781615,-117.7411934,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,JAGUAR PAW,"Jaguar Paw, 2185 1/2, Logan Avenue, Logan Heights, Barrio Logan, San Diego, San Diego County, California, 92136, United States",San Diego,US,CA,,32.6980853,-117.1396457,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,JEWEL,"Jewel, 654, North Hoover Street, Virgil Village, Los Angeles, Los Angeles County, California, 90004, United States",Los Angeles,US,CA,,34.0830986,-118.2843624,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,JON AND VINNY’S,"Sierra Madre, California, 91024, United States",Sierra Madre,US,CA,,34.1626839,-118.0659221,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,KATO,"Kato, 777, South Alameda Street, Arts District, Downtown, Los Angeles, Los Angeles County, California, 90021, United States",Los Angeles,US,CA,,34.0340707,-118.2411057,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,LA HOMEFARM,"California, United States",California,US,CA,,34.0536909,-118.242766,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,LITTLE BEAR BOTTLE SHOP,"40804B, Village Drive, Big Bear Lake, California, 92315, United States",Big Bear Lake,US,CA,,34.2400903,-116.9117379,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,LITTLE VICTORY WINE MARKET,"The Promenade, Redding, California, 96001, United States",Redding,US,CA,,40.5841293,-122.3905089,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,LOLO WINE BAR,"5140 Sunset Blvd, Los Angeles, CA 90027, USA",Los Angeles,US,CA,,34.0983459,-118.291557,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,(323) 665-5656,,https://lolowinebar.com,False,False,,,,,,,
Unified Ferments,,MAJORETTE,"Majorette, 6344, El Cajon Boulevard, Rolando, Mid-City, San Diego, San Diego County, California, 92115, United States",San Diego,US,CA,,32.7643677,-117.0621977,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,MILLAY,"Millay, 691, 14th Street, Duboce Triangle, Castro District, Mission, San Francisco, California, 94143, United States",San Francisco,US,CA,,37.7676721,-122.4282827,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,MINOMO,"Universal City, California, United States",Universal City,US,CA,,34.1394628,-118.3540217,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,NADA,"Nada Street, Downey, Los Angeles County, California, 90242, United States",Downey,US,CA,,33.9286057,-118.132368,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,NEIGHBORHOOD,"North Hollywood Neighborhood Council District, Los Angeles, Los Angeles County, California, United States",Los Angeles,US,CA,,34.1649502,-118.374752,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,NICO’S BOTTLE SHOP,"613, South Anaheim Boulevard, Anaheim, California, 92815, United States",Anaheim,US,CA,,33.8283449,-117.9117579,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,OPEN MARKET,"Open Market, 3339, Wilshire Boulevard, Koreatown, Los Angeles, Los Angeles County, California, 90010, United States",Los Angeles,US,CA,,34.0623513,-118.2959672,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,PROVIDENCE,"Providence, Carriage Hill Serrano, Lake Forest, Orange County, California, 92630, United States",Lake Forest,US,CA,,33.6576161,-117.6886343,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,SCRIMSHAW COFFEE,"Scrimshaw Coffee, 5542, El Cajon Boulevard, El Cerrito Heights, Mid-City, San Diego, San Diego County, California, 92115, United States",San Diego,US,CA,,32.7586491,-117.0752028,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,SESAME,"Sesame Place San Diego, 2052, Entertainment Circle, Chula Vista, San Diego County, California, 91913, United States",Chula Vista,US,CA,,32.5874265,-117.0118326,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,SOFT SPIRITS,"2601, Monarch Street, Alameda, California, 94501, United States",Alameda,US,CA,,37.7876437,-122.3092565,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,SORREL,"Sorrel, Baker Ranch, Lake Forest, Orange County, California, 92610, United States",Lake Forest,US,CA,,33.6720468,-117.6763549,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,STRANGE MAGIC BOTTLE SHOP,"West Sierra Madre Boulevard, Sierra Madre, California, 91024, United States",Sierra Madre,US,CA,,34.1616804,-118.0540064,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,THE NEW BAR,"The New Jalisco Bar, South Main Street, Gallery Row, Civic Center, Downtown, Los Angeles, Los Angeles County, California, 90013, United States",Los Angeles,US,CA,,34.0502596,-118.2454369,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,THUNDERBOLT,"Thunderbolt, West Temple Street, Angeleno Heights, Echo Park, Los Angeles, Los Angeles County, California, 90071, United States",Los Angeles,US,CA,,34.0665232,-118.2542208,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,TONCHIN,"Universal City, California, United States",Universal City,US,CA,,34.1394628,-118.3540217,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,VINOVORE,"Vinovore, 616, North Hoover Street, Virgil Village, Los Angeles, Los Angeles County, California, 90004, United States",Los Angeles,US,CA,,34.0821663,-118.2843323,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,VINTAGE BERKELEY,"Vintage Berkeley, 2113, Vine Street, Gourmet Ghetto, Berkeley, Alameda County, California, 94709, United States",Berkeley,US,CA,,37.880513,-122.2685368,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,DARKE PINES,"Darke Pines, 2nd Street, Hamilton Park, Journal Square, Jersey City, Hudson County, New Jersey, 07302, United States",Jersey City,US,NJ,,40.7229474,-74.0480457,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,COOLVINES,"Coolvines, Spring Street, Princeton Center, Princeton, Mercer County, New Jersey, 08542, United States",Princeton,US,NJ,,40.3509954,-74.6594508,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,FRANKIE,"Frankie, Grove Street, Communipaw, Jersey City, Hudson County, New Jersey, 07302, United States",Jersey City,US,NJ,,40.7171401,-74.0441346,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,BAR SPERO,"Pennsylvania Avenue Southeast, Washington, District of Columbia, 20003, United States",Washington,US,DC,,38.8857303,-76.9978869,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,MAYDAN,"Maydan, 1346, Florida Avenue Northwest, Greater U Street Historic District, Ward 1, Washington, District of Columbia, 20009, United States",Washington,US,DC,,38.9199398,-77.0311988,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,REVERIE,"District of Columbia, United States",Washington DC,US,DC,,38.8950982,-77.0363849,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,HAPPY GYRO,"331, H Street Northeast, Washington, DC, 20002, United States",Washington,US,DC,,38.9000742,-77.0009364,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,MIDTOWN WINES,"1748, 7th Street Northwest, Washington, DC, 20001, United States",Washington,US,DC,,38.9139317,-77.0221267,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,REBEL REBEL,"Rebel Rebel, 335;337;341, Somerville Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",Somerville,US,MA,,42.3810298,-71.0980988,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,BACCO’S WINE AND CHEESE,"31, Saint James Avenue, Boston, MA, 02117, United States",Boston,US,MA,,42.350951,-71.0715364,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,DEUXAVE,"Deuxave, 371, Commonwealth Avenue, Back Bay, Boston, Suffolk County, Massachusetts, 02115, United States",Boston,US,MA,,42.3494485,-71.089041,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,DELUCA’S MARKET,"Deluca's Market, Newbury Street, Back Bay, Boston, Suffolk County, Massachusetts, 02199, United States",Boston,US,MA,,42.3497642,-71.0824595,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,HALEY HENRY,"haley.henry, Province Street, Downtown Crossing, Downtown, Boston, Suffolk County, Massachusetts, 02203, United States",Boston,US,MA,,42.3575054,-71.0596738,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,NUATILUS,"Nantucket, Massachusetts, 02554, United States",Nantucket,US,MA,,41.2625861,-70.0943295,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,DRAY DRINKS,"Dray Drinks Non-Alcoholic Bottle Shop, 5, Columbia Street, Harlow Square, The Port, Cambridge, Middlesex County, Massachusetts, 02139, United States",Cambridge,US,MA,,42.3639454,-71.0997276,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,FORMAGGIO SOUTH END,"268, Shawmut Avenue, Boston, Massachusetts, 02118, United States",Boston,US,MA,,42.3431119,-71.0686235,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,NO RELATION,"141, Memorial Parkway, Randolph, Massachusetts, 02368, United States",Randolph,US,MA,,42.1635682,-71.0464223,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,ROCHAMBEAU,"Rochambeau, 900, Boylston Street, Block G, Back Bay, Boston, Suffolk County, Massachusetts, 02116, United States",Boston,US,MA,,42.3482542,-71.0834149,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,BAR A VINS,"1603, Battleground Avenue, Greensboro, North Carolina, 27410, United States",Greensboro,US,NC,,36.0894723,-79.810576,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,PINK MOON,"Parkway Village Circle, Winston-Salem, North Carolina, 27127, United States",Winston-Salem,US,NC,,36.0292314,-80.2624673,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,BAR ROLLINS,"North Beltline Boulevard, Columbia, South Carolina, 29204, United States",Columbia,US,SC,,34.0361762,-81.0032971,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,COMMUNITY TAP,"Community Tap, 147, Welborn Street, Mountain View Homes, Greenville, Greenville County, South Carolina, 29601, United States",Greenville,US,SC,,34.853235,-82.4142296,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,GOODS,"Deep 6 Goods, 41, Maplewood Avenue, Milton, Chittenden County, Vermont, 05468, United States",Milton,US,VT,,44.642274,-73.1079005,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,SCHMETTERLING WINE,"Schmetterling Wine Shop, 48, Main Street, Middlebury Village Historic District, Middlebury, Addison County, Vermont, 05753, United States",Middlebury,US,VT,,44.0135794,-73.1686361,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
