competitor,source_id,name,address,suburb,region,state,venue_type,contact,website,hours,notes,latitude,longitude,source_url,scraped_at,geocode_status
Researched Prospect Locations,,Anais,"196 Bergen St #2, Brooklyn, NY 11217",Brooklyn,US,NY,wine bar,+1 718-513-9176,,Mon-Thu 8am-11pm; Fri 8am-12am; Sat 9am-12am; Sun 9am-11pm,,40.6848831,-73.9860837,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,L'Apero by 4F,"115 Montague St, Brooklyn, NY 11201",Brooklyn,US,NY,wine bar,+1 929-337-6022,,Wed-Sat 6-10pm; Sun-Tue closed,,40.6950814,-73.9948457,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Clover Club,"210 Smith St, Brooklyn, NY 11201",Brooklyn,US,NY,bar,+1 718-855-7939,,Mon-Thu 4pm-12am; Fri 4pm-2am; Sat 12pm-2am; Sun 12pm-12am,,40.6846142,-73.9922019,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Doris,"1088 Fulton St, Brooklyn, NY 11238",Brooklyn,US,NY,bar,+1 347-240-3350,,Mon-Wed 5pm-1am; Thu 5pm-2am; Fri 5pm-3am; Sat 4pm-3am; Sun 4pm-1am,,40.6813028,-73.957375,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Ornithology Jazz Club,"6 Suydam St, Brooklyn, NY 11221",Brooklyn,US,NY,bar,+1 917-231-4766,,Daily 6pm-2am,,40.6955409,-73.9320351,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,The Coyote Club,"417 Throop Ave, Brooklyn, NY 11221",Brooklyn,US,NY,bar,,,Mon-Fri 4pm-4am; Sat-Sun 2pm-4am,,40.688558,-73.9419119,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,LunAtico,"486 Halsey St, Brooklyn, NY 11233",Brooklyn,US,NY,bar,+1 718-513-0339,,Daily 5pm-1am,,40.6833788,-73.9346786,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,With Others,"340 Bedford Ave, Brooklyn, NY 11249",Brooklyn,US,NY,wine bar,+1 929-389-0807,,Wed-Thu 5pm-12am; Fri 4pm-12am; Sat 2pm-12am; Sun 2-11pm; Mon-Tue closed,,40.7128067,-73.962569,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Sauced,"331 Bedford Ave, Brooklyn, NY 11211",Brooklyn,US,NY,wine bar,+1 929-492-4758,,Mon-Wed 5pm-12am; Thu 5pm-1am; Fri 5pm-2am; Sat 2pm-2am; Sun 2pm-12am,,40.7126451,-73.9623269,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Bar Laika,"224 Greene Ave, Brooklyn, NY 11238",Brooklyn,US,NY,wine bar,+1 347-529-4321,,Mon-Thu 6pm-12am; Fri-Sat 6pm-1am; Sun closed,,40.686993,-73.9620907,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,TIME AGAIN,"105 Canal St, New York, NY 10002",New York,US,CA,bar,,,Mon-Wed 5pm-2am; Thu-Sun 2pm-2am,,40.7156747,-73.9940649,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Mr Fongs,"40 Market St, New York, NY 10002",New York,US,NY,bar,+1 646-964-4540,,Mon 4pm-12am; Tue-Thu 4pm-2am; Fri-Sat 4pm-4am; Sun 4pm-12am,,40.7124273,-73.9942509,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Kingston Hall,"149 2nd Ave, New York, NY 10003",New York,US,NY,bar,,,Mon-Thu 4pm-2am; Fri-Sat 4pm-4am; Sun 3pm-12am,,40.7295009,-73.9872677,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Ray's,"177 Chrystie St, New York, NY 10002",New York,US,NY,bar,,,Mon-Thu 5pm-2am; Fri 3pm-2am; Sat-Sun 1pm-2am,,40.7212215,-73.9924426,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Frog Wine Bar,"389 Henry St, Brooklyn, NY 11201",Brooklyn,US,NY,wine bar,+1 347-294-4197,,Mon-Fri 2-8pm; Sat-Sun 12-8pm,,40.6881417,-73.997366,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,George and Jack's Tap Room,"103 Berry St, Brooklyn, NY 11211",Brooklyn,US,NY,pub,,,Daily 12pm-4am,,40.7210279,-73.9567005,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Lilia,"567 Union Ave, Brooklyn, NY 11211",Brooklyn,US,NY,restaurant,+1 718-576-3095,,Mon-Thu 5-9:30pm; Fri-Sun 4-9:30pm,,40.7176165,-73.9524013,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Misipasta,"46 Grand St, Brooklyn, NY 11249",Brooklyn,US,NY,cafe,+1 347-844-6474,,Mon-Thu 12-10pm; Fri-Sun 11am-10pm,,40.715875,-73.9655685,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Misi,"329 Kent Ave, Brooklyn, NY 11249",Brooklyn,US,NY,restaurant,+1 347-566-3262,,Mon-Thu 5-9:30pm; Fri-Sun 11:30am-2:30pm & 4:30-9:30pm,,40.7134037,-73.9672238,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Nowadays,"56-06 Cooper Ave, Glendale, NY 11385",Glendale,US,NY,bar/club,,,Thu 5pm-12am; Fri 5pm-6am; Sat 2pm-12am; Sun to 10pm; Mon-Wed closed,,40.699532,-73.8887274,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Carmelo's,"1544 Dekalb Ave, Brooklyn, NY 11237",Brooklyn,US,NY,bar,,,Daily 4pm-4am,,40.7027469,-73.9206221,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Le Dive,"37 Canal St, New York, NY 10002",New York,US,CA,wine bar,,,Mon 3pm-12am; Tue-Wed 3pm-1am; Thu-Fri 3pm-2am; Sat 12pm-2am; Sun 12pm-12am,,40.7147362,-73.9909568,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Banter Bar,"132 Havemeyer St, Brooklyn, NY 11211",Brooklyn,US,NY,pub,+1 347-457-6621,,Mon-Tue 2pm-12am; Wed-Fri 2pm-2am; Sat-Sun 12pm-2am,,40.7121785,-73.957432,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Radegast Hall,"113 N 3rd St, Brooklyn, NY 11249",Brooklyn,US,NY,pub,+1 718-963-3973,,Mon-Thu 12pm-1am; Fri 12pm-3am; Sat 11am-3am; Sun 11am-1am,,40.7167493,-73.9615241,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Lovers of Today,"132 1/2 E 7th St, New York, NY 10009",New York,US,NY,bar,,,Daily 5pm-4am,,40.7258564,-73.9833298,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Joyface,"104 Loisaida Ave, New York, NY 10009",New York,US,NY,bar,,,Tue-Wed 7pm-2am; Thu-Sat 7pm-3am; Sun 7pm-2am; Mon closed,,40.7214545,-73.9807674,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Twins Lounge,"732 Manhattan Ave, Brooklyn, NY 11222",Brooklyn,US,NY,bar/lounge,,,Mon-Thu 4pm-3am; Fri-Sat 3pm-4am; Sun 4pm-3am,,40.7262762,-73.9520758,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,The Spaniard,"190 W 4th St, New York, NY 10014",New York,US,NY,bar,+1 212-918-1986,,Mon-Wed 12pm-2am; Thu-Fri 12pm-4am; Sat 11am-4am; Sun 11am-2am,,40.7327579,-74.0021665,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Air HQ,"3 Howard St, New York, NY 10013",New York,US,NY,software company with pop-up space,212-920-1426,,Mon-Fri 9am-5pm,,40.7188757,-73.9996337,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Verlaine,"110 Rivington St, New York, NY 10002",New York,US,NY,cocktail bar,Max is cousins with the owner Gary,https://www.verlainenyc.com/,Tue-Wed 5pm-12am; Thu 5pm-1am; Fri-Sat 5pm-2am; Sun 5-11pm; Mon closed,,40.7200177,-73.9878219,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Soft Bar,"200 Banker St, Brooklyn, NY 11222",Brooklyn,US,NY,non-alc dedicated bar + cafe,,,Tue-Sat 8am-10pm; Sun 8am-7pm; Mon closed,,40.7250533,-73.9557248,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,AITA,"132 Greene Ave, Brooklyn, NY 11238",Brooklyn,US,NY,,+1 718-576-3584,,,,40.6864492,-73.9666416,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Canyon Grocer by Kurt & Whey,"169 W Channel Rd, Santa Monica, CA 90402",Santa Monica,US,CA,small grocer,kurt@kurtandwhey.com | +1 805-444-8255,,Mon-Tue 9:30am-4pm; Wed-Sun 9am-4pm,"Santa Monica CA, not NYC. Email corrected from kurt@kurt@whey.com.",34.0466043,-118.494954,friend research,2026-09-01T00:32:17.984048+00:00,resolved
